\item $\displaystyle \int \left(3x^2-60x+336\right)\sqrt[4]{(x-10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+16x+30\right)\sqrt[3]{(2x+4)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-15\right)\sqrt{(2x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-20x-107\right)\sqrt[4]{x+10}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+8x+14\right)\sqrt[4]{x+2}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-24x+24\right)\sqrt[4]{(3x-4)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+6x+18\right)\sqrt{x+3}\, \, dx =\cdots $
\item $\displaystyle \int \left(-x^2+14x-50\right)\sqrt{(x-7)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2-24x-8\right)\sqrt[3]{(3x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2+24\right)\sqrt[4]{(2x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2+16x-28\right)\sqrt[4]{2x-2}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-12\right)\sqrt{(2x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+8x+10\right)\sqrt[4]{2x+2}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-8x+2\right)\sqrt[4]{(2x-2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+4x+3\right)\sqrt{(x+2)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+6x-12\right)\sqrt{(3x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2+180x-306\right)\sqrt{3x-10}\, \, dx =\cdots $
\item $\displaystyle \int \left(2x^2+20x+70\right)\sqrt[3]{(x+5)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-20x+19\right)\sqrt{(2x-5)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-8x-17\right)\sqrt{(2x+2)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+32x+54\right)\sqrt{2x+8}\, \, dx =\cdots $
\item $\displaystyle \int \left(12x^2+24x+39\right)\sqrt{2x+2}\, \, dx =\cdots $
\item $\displaystyle \int \left(9x^2-48x+72\right)\sqrt{(3x-8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+8x+16\right)\sqrt{x+2}\, \, dx =\cdots $
\item $\displaystyle \int \left(-4x^2-16x-25\right)\sqrt{(2x+4)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-30\right)\sqrt{(2x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-48x+50\right)\sqrt{(2x-6)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-3x^2+6x-48\right)\sqrt[3]{(x-1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+64x+128\right)\sqrt{(2x+8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-20x+20\right)\sqrt{(2x-5)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-10\right)\sqrt[3]{(2x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+12x+9\right)\sqrt[3]{2x+3}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+28x-51\right)\sqrt{2x-7}\, \, dx =\cdots $
\item $\displaystyle \int \left(-4x^2-16x-1\right)\sqrt[4]{2x+4}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-84x-105\right)\sqrt[3]{(2x+7)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-36x+81\right)\sqrt{(2x-9)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+12x+11\right)\sqrt{(2x+3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(27x^2-54x+9\right)\sqrt[4]{3x-3}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+12\right)\sqrt[3]{(x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2+32x-8\right)\sqrt{2x-4}\, \, dx =\cdots $
\item $\displaystyle \int \left(-9x^2-24x-18\right)\sqrt[3]{3x+4}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+24x+18\right)\sqrt{2x+3}\, \, dx =\cdots $
\item $\displaystyle \int \left(-4x^2-5\right)\sqrt[3]{2x}\, \, dx = \cdots $
\item $\displaystyle \int \left(-2x^2+32x-126\right)\sqrt[4]{x-8}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2-162x-216\right)\sqrt{(3x+9)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+60x+95\right)\sqrt[3]{(3x+10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2-60x+80\right)\sqrt[3]{(3x-5)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-56x-86\right)\sqrt[4]{2x+7}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+108x+162\right)\sqrt[4]{(3x+9)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-4x+7\right)\sqrt{(2x-1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+108x+166\right)\sqrt[3]{(3x+9)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+2\right)\sqrt{x}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2+8x+4\right)\sqrt[4]{(2x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-2x^2-8x-2\right)\sqrt[3]{x+2}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-4x-8\right)\sqrt{(x-2)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-6x+10\right)\sqrt[3]{(x-3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2+12x-26\right)\sqrt{x-6}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2+8x+8\right)\sqrt[3]{(2x+1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-8x-22\right)\sqrt[4]{(2x-1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-2x+4\right)\sqrt[4]{(x-1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-16x+65\right)\sqrt{(x-8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-4x-1\right)\sqrt{(2x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+40x-114\right)\sqrt{(2x-10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-10x-34\right)\sqrt{(x+5)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+6x-3\right)\sqrt[3]{(x+3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2\right)\sqrt{2x}\, \, dx =\cdots $
\item $\displaystyle \int \left(-8x^2+40x-54\right)\sqrt{2x-5}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2+12x+9\right)\sqrt[3]{(2x+3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2-18x-21\right)\sqrt{3x+1}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2-36x+85\right)\sqrt[4]{2x-9}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-24\right)\sqrt{(2x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+28x+98\right)\sqrt{(x+7)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+16x+32\right)\sqrt{(x+4)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-10x+32\right)\sqrt{x-5}\, \, dx =\cdots $
\item $\displaystyle \int \left(-x^2-4x+8\right)\sqrt[3]{(x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2+48x-32\right)\sqrt[4]{(3x-4)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2+18x-15\right)\sqrt{3x-3}\, \, dx =\cdots $
\item $\displaystyle \int \left(x^2-18x+81\right)\sqrt[3]{(x-9)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-6\right)\sqrt{(2x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+4x-6\right)\sqrt{(x+2)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-9\right)\sqrt{2x}\, \, dx =\cdots $
\item $\displaystyle \int \left(-27x^2-36x-12\right)\sqrt[4]{(3x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+20x+36\right)\sqrt[3]{(2x+5)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+20x+14\right)\sqrt[4]{(2x+5)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+8x+8\right)\sqrt[4]{(2x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-4\right)\sqrt[3]{2x}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2+10\right)\sqrt[3]{(3x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+36x-83\right)\sqrt{(2x-9)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2-16x+56\right)\sqrt{x-4}\, \, dx =\cdots $
\item $\displaystyle \int \left(x^2-8x+16\right)\sqrt{(x-4)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-3x^2+48x-204\right)\sqrt{(x-8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-18x+7\right)\sqrt{(3x-3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+64x+132\right)\sqrt[3]{(2x+8)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(3x^2-60x+300\right)\sqrt{x-10}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2-16x+24\right)\sqrt[3]{2x-4}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+54x+67\right)\sqrt[3]{(3x+9)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2-24x-8\right)\sqrt[3]{3x+2}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2-120x+200\right)\sqrt[3]{3x-10}\, \, dx = \cdots $
\item $\displaystyle \int \left(3x^2-18x+57\right)\sqrt{(x-3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-24x+18\right)\sqrt{(3x-4)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+2\right)\sqrt{2x}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2+56x+118\right)\sqrt[3]{(2x+7)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-2x-6\right)\sqrt[3]{(x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-20x+32\right)\sqrt[3]{2x-5}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+120x+224\right)\sqrt[3]{(3x+10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+36x+67\right)\sqrt[3]{2x+9}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+8x-10\right)\sqrt[3]{2x+2}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-56x-76\right)\sqrt{2x+7}\, \, dx =\cdots $
\item $\displaystyle \int \left(-18x^2-96x-98\right)\sqrt[3]{(3x+8)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+40x+72\right)\sqrt[4]{(2x+5)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+108x+170\right)\sqrt{(3x+9)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-84x-147\right)\sqrt{(2x+7)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-13\right)\sqrt{(2x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2\right)\sqrt[3]{(2x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+36x+81\right)\sqrt[3]{2x+9}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2+12x-21\right)\sqrt[4]{(2x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-2x+5\right)\sqrt[4]{x-1}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+40x+50\right)\sqrt{2x+5}\, \, dx =\cdots $
\item $\displaystyle \int \left(9x^2-8\right)\sqrt[3]{3x}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+24x+18\right)\sqrt[4]{2x+3}\, \, dx = \cdots $
\item $\displaystyle \int \left(3x^2+18x+27\right)\sqrt{x+3}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2+32x+26\right)\sqrt[3]{2x+4}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2+108x-126\right)\sqrt[4]{(3x-6)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+6x+2\right)\sqrt[4]{3x+1}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-36x-9\right)\sqrt{(2x+3)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(27x^2-162x+246\right)\sqrt[4]{3x-9}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2-28x+86\right)\sqrt{(x-7)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-32x-64\right)\sqrt{(2x+8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+20x+52\right)\sqrt[4]{(x+5)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+8x-4\right)\sqrt{(2x-2)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(3x^2+45\right)\sqrt[3]{(x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(27x^2+108x+87\right)\sqrt{(3x+6)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-36x-36\right)\sqrt[3]{(2x+3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2+120x-336\right)\sqrt[3]{(2x-10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-24x+40\right)\sqrt[4]{(2x-6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+16x+8\right)\sqrt{(2x+2)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-32x+38\right)\sqrt[3]{(2x-4)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+15\right)\sqrt[4]{(x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2-12x-16\right)\sqrt{(3x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-32x-72\right)\sqrt[4]{(2x+8)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-4x+1\right)\sqrt{(2x-1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+64x+130\right)\sqrt[4]{(2x+8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+4x\right)\sqrt{(x+2)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2\right)\sqrt{2x}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2-20x+15\right)\sqrt[3]{(2x-5)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-6x+10\right)\sqrt{(x-3)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-2x^2+28x-98\right)\sqrt{x-7}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2+32x+64\right)\sqrt[4]{(2x+8)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+16x+28\right)\sqrt[4]{2x+2}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+4x+4\right)\sqrt[4]{(x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2\right)\sqrt{3x}\, \, dx =\cdots $
\item $\displaystyle \int \left(9x^2-3\right)\sqrt[3]{(3x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+2\right)\sqrt[4]{2x}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-20x+25\right)\sqrt{2x-5}\, \, dx =\cdots $
\item $\displaystyle \int \left(-18x^2+84x-98\right)\sqrt[4]{3x-7}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2+16x-49\right)\sqrt[3]{(x-8)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+108x+144\right)\sqrt{3x+9}\, \, dx =\cdots $
\item $\displaystyle \int \left(3x^2-12x+30\right)\sqrt[3]{(x-2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2-36x-22\right)\sqrt{(3x+3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+14\right)\sqrt[3]{(x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-3x^2-36x-114\right)\sqrt[3]{(x+6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2+18x-1\right)\sqrt{3x-3}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2+80x+200\right)\sqrt[3]{2x+10}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-32x+60\right)\sqrt[3]{(2x-4)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+48x+72\right)\sqrt[4]{(2x+6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2-48x+48\right)\sqrt{(2x-4)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(27x^2-18x+6\right)\sqrt{(3x-1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-64x+158\right)\sqrt[4]{(2x-8)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+12x-11\right)\sqrt[3]{2x-3}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2\right)\sqrt{2x}\, \, dx =\cdots $
\item $\displaystyle \int \left(x^2+16x+64\right)\sqrt{(x+8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+12x+10\right)\sqrt{2x+3}\, \, dx =\cdots $
\item $\displaystyle \int \left(-4x^2-12x-2\right)\sqrt{2x+3}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2+24x-10\right)\sqrt[4]{(2x+3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+72x+46\right)\sqrt{(3x+6)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-12x-6\right)\sqrt[4]{2x-3}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+36x+96\right)\sqrt[3]{2x+9}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2+84x-171\right)\sqrt{(2x-7)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+8x-8\right)\sqrt{(2x+1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+54x+75\right)\sqrt[3]{(3x+9)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-8x\right)\sqrt[3]{(2x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+4x-3\right)\sqrt[3]{x+2}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2-6x-4\right)\sqrt[3]{(3x+1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+20x+100\right)\sqrt{(x+10)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-80x+208\right)\sqrt[3]{(2x-10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2-36x+15\right)\sqrt{(2x-3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+4x-6\right)\sqrt{(2x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-12x\right)\sqrt{3x-2}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2+24x+39\right)\sqrt{(2x+6)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2+48x-60\right)\sqrt{(2x-4)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+4x+18\right)\sqrt[3]{(x+1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-16x+16\right)\sqrt{(2x-4)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-4x-4\right)\sqrt[3]{(2x-1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+16x+26\right)\sqrt[4]{x+4}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-56x+112\right)\sqrt[3]{(2x-7)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-10x-25\right)\sqrt{(x+5)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2+60x-52\right)\sqrt{(3x-5)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-28x+49\right)\sqrt[4]{(2x-7)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-12x+36\right)\sqrt[3]{(x-6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+4x+7\right)\sqrt{(x+2)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(27x^2-162x+246\right)\sqrt{3x-9}\, \, dx =\cdots $
\item $\displaystyle \int \left(-18x^2+48x-28\right)\sqrt[4]{3x-4}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+8x-4\right)\sqrt[3]{(2x-2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(27x^2-108x+93\right)\sqrt{3x-6}\, \, dx =\cdots $
\item $\displaystyle \int \left(-18x^2+24x-14\right)\sqrt[4]{3x-2}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2-4x+32\right)\sqrt[3]{x-1}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2\right)\sqrt{(2x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+32x-70\right)\sqrt[4]{2x-8}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-16x-24\right)\sqrt{(2x+2)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2+96x-186\right)\sqrt[4]{(2x-8)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+36x+81\right)\sqrt[3]{2x+9}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2+12x-26\right)\sqrt{(x-6)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2+12x-4\right)\sqrt[4]{(3x-1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+8x+16\right)\sqrt{x+2}\, \, dx =\cdots $
\item $\displaystyle \int \left(9x^2+14\right)\sqrt[4]{(3x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+8x+8\right)\sqrt{(x+2)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2+6x-24\right)\sqrt[3]{(x-3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+2x-5\right)\sqrt[3]{(x+1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+24x+36\right)\sqrt[3]{(2x+6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(27x^2+144x+150\right)\sqrt[3]{3x+8}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+16x+20\right)\sqrt[3]{(2x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+4\right)\sqrt[3]{(2x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(3x^2-60x+300\right)\sqrt{x-10}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2+28x+34\right)\sqrt{2x+7}\, \, dx =\cdots $
\item $\displaystyle \int \left(-12x^2-36x-36\right)\sqrt[3]{(2x+3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2-72x-78\right)\sqrt{3x+4}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2-32x+74\right)\sqrt{(2x-8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2-12\right)\sqrt{2x}\, \, dx =\cdots $
\item $\displaystyle \int \left(27x^2\right)\sqrt[3]{(3x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+32x+76\right)\sqrt{2x+8}\, \, dx =\cdots $
\item $\displaystyle \int \left(-12x^2-12x-15\right)\sqrt{(2x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-16x-8\right)\sqrt[3]{(2x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(27x^2-108x+102\right)\sqrt[4]{(3x-6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2\right)\sqrt[4]{2x}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+4x+2\right)\sqrt[3]{2x+1}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2+90x-78\right)\sqrt{(3x-5)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2+84x-147\right)\sqrt{2x-7}\, \, dx =\cdots $
\item $\displaystyle \int \left(2x^2+14\right)\sqrt[4]{(x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+36x+81\right)\sqrt[4]{(2x+9)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-84x-120\right)\sqrt[4]{(2x+7)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-10x-28\right)\sqrt[3]{(x+5)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+40x-96\right)\sqrt[3]{(2x-10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2+72x+108\right)\sqrt[3]{(2x+6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-18x-4\right)\sqrt{(3x-3)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-42x+38\right)\sqrt{(3x-7)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(27x^2-126x+138\right)\sqrt{3x-7}\, \, dx =\cdots $
\item $\displaystyle \int \left(x^2-18x+75\right)\sqrt{x-9}\, \, dx =\cdots $
\item $\displaystyle \int \left(9x^2-6x+1\right)\sqrt{(3x-1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2+42\right)\sqrt[3]{(3x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+6x+1\right)\sqrt{(3x+1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+24x+36\right)\sqrt[4]{(2x+6)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+12x+36\right)\sqrt[3]{(x+6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-7\right)\sqrt[4]{2x}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-28x+52\right)\sqrt[4]{(2x-7)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-36x+81\right)\sqrt{(2x-9)^{3}}\, \, dx = \cdots $
